file_year,age_group,sex,race,beneficiaries,total_claims,total_payment,mean_payment,diabetes_rate
2008,65-74,Female,Black,2576,16230,16216750,16216750,0.33462732919254656
2008,65-74,Female,Hispanic,465,2690,2254150,2254150,0.30752688172043013
2008,65-74,Female,Other,1272,6886,6526100,6526100,0.3081761006289308
2008,65-74,Female,White,22064,151257,138728240,138728240,0.350253807106599
2008,65-74,Male,Black,2136,11831,11834190,11834190,0.27902621722846443
2008,65-74,Male,Hispanic,379,1784,2087900,2087900,0.2717678100263852
2008,65-74,Male,Other,1114,5378,5426010,5426010,0.2540394973070018
2008,65-74,Male,White,19541,123113,118955600,118955600,0.31820275318560975
2008,75-84,Female,Black,1699,13062,13814400,13814400,0.3731606827545615
2008,75-84,Female,Hispanic,491,3611,3374080,3374080,0.37067209775967414
2008,75-84,Female,Other,715,4981,4348090,4348090,0.365034965034965
2008,75-84,Female,White,16006,131436,133917580,133917580,0.43796076471323253
2008,75-84,Male,Black,1062,7131,8320580,8320580,0.3634651600753296
2008,75-84,Male,Hispanic,336,2068,2121630,2121630,0.32142857142857145
2008,75-84,Male,Other,559,3729,3230690,3230690,0.35062611806797855
2008,75-84,Male,White,12014,95084,102109980,102109980,0.41942733477609456
2008,85+,Female,Black,833,6396,7153140,7153140,0.39735894357743096
2008,85+,Female,Hispanic,195,1365,1599520,1599520,0.441025641025641
2008,85+,Female,Other,327,2196,2079720,2079720,0.3333333333333333
2008,85+,Female,White,8672,78235,85246800,85246800,0.4758994464944649
2008,85+,Male,Black,320,2307,2651790,2651790,0.35625
2008,85+,Male,Hispanic,141,903,1054460,1054460,0.375886524822695
2008,85+,Male,Other,179,956,942340,942340,0.3240223463687151
2008,85+,Male,White,4136,36477,41761840,41761840,0.4615570599613153
2008,<65,Female,Black,1827,15990,16519810,16519810,0.40831964969896006
2008,<65,Female,Hispanic,321,2285,1977510,1977510,0.367601246105919
2008,<65,Female,Other,335,2404,2189410,2189410,0.3611940298507463
2008,<65,Female,White,6549,55288,53841050,53841050,0.40448923499770956
2008,<65,Male,Black,1890,12816,14347790,14347790,0.3306878306878307
2008,<65,Male,Hispanic,401,2722,2570460,2570460,0.3541147132169576
2008,<65,Male,Other,430,3039,3363580,3363580,0.30930232558139537
2008,<65,Male,White,7367,53913,53219700,53219700,0.3526537260757432
2009,65-74,Female,Black,2392,15248,15069570,15069570,0.36998327759197325
2009,65-74,Female,Hispanic,442,2538,2109350,2109350,0.3438914027149321
2009,65-74,Female,Other,1151,6260,5931230,5931230,0.3344917463075586
2009,65-74,Female,White,20072,138441,126426770,126426770,0.3897469111199681
2009,65-74,Male,Black,2019,11254,11284520,11284520,0.32639920752847945
2009,65-74,Male,Hispanic,367,1805,2224440,2224440,0.2888283378746594
2009,65-74,Male,Other,1045,5047,5132580,5132580,0.2851674641148325
2009,65-74,Male,White,17824,112960,109838420,109838420,0.3633303411131059
2009,75-84,Female,Black,1752,13642,14542270,14542270,0.4309360730593607
2009,75-84,Female,Hispanic,454,3316,3083920,3083920,0.3832599118942731
2009,75-84,Female,Other,758,5223,4494790,4494790,0.38522427440633245
2009,75-84,Female,White,16275,133751,134268590,134268590,0.46740399385560677
2009,75-84,Male,Black,1117,7378,8576770,8576770,0.37511190689346463
2009,75-84,Male,Hispanic,316,1951,1937530,1937530,0.3575949367088608
2009,75-84,Male,Other,590,3892,3417780,3417780,0.3949152542372881
2009,75-84,Male,White,12524,98265,103595580,103595580,0.44115298626636856
2009,85+,Female,Black,955,7458,8256070,8256070,0.4178010471204188
2009,85+,Female,Hispanic,253,1847,2050230,2050230,0.42292490118577075
2009,85+,Female,Other,398,2758,2611710,2611710,0.39949748743718594
2009,85+,Female,White,9938,90134,98715410,98715410,0.5077480378345743
2009,85+,Male,Black,409,3063,3563840,3563840,0.38875305623471884
2009,85+,Male,Hispanic,170,1103,1276080,1276080,0.38823529411764707
2009,85+,Male,Other,222,1275,1230970,1230970,0.34684684684684686
2009,85+,Male,White,5085,45179,51271120,51271120,0.4904621435594887
2009,<65,Female,Black,1727,15145,15706230,15706230,0.4493341053850608
2009,<65,Female,Hispanic,311,2244,1949420,1949420,0.3729903536977492
2009,<65,Female,Other,301,2203,2042730,2042730,0.3654485049833887
2009,<65,Female,White,6165,52771,51100430,51100430,0.4395782643957826
2009,<65,Male,Black,1783,12317,13641280,13641280,0.36343241727425685
2009,<65,Male,Hispanic,382,2597,2382170,2382170,0.3298429319371728
2009,<65,Male,Other,402,2886,3180750,3180750,0.3482587064676617
2009,<65,Male,White,6939,51339,50321470,50321470,0.3853581207666811
