file_year,age_group,sex,race,claim_type,total_payment,mean_payment
2008,65-74,Female,Black,Inpatient,11583520,4496.708074534162
2008,65-74,Female,Black,Outpatient,4633230,1798.6141304347825
2008,65-74,Female,Black,PDE,7402120,2873.4937888198756
2008,65-74,Female,Hispanic,Inpatient,1690400,3635.2688172043013
2008,65-74,Female,Hispanic,Outpatient,563750,1212.3655913978494
2008,65-74,Female,Hispanic,PDE,1871460,4024.6451612903224
2008,65-74,Female,Other,Inpatient,4626800,3637.421383647799
2008,65-74,Female,Other,Outpatient,1899300,1493.1603773584907
2008,65-74,Female,Other,PDE,3662160,2879.056603773585
2008,65-74,Female,White,Inpatient,101123500,4583.189811457578
2008,65-74,Female,White,Outpatient,37604740,1704.3482596084118
2008,65-74,Female,White,PDE,58906470,2669.8001269035535
2008,65-74,Male,Black,Inpatient,8811800,4125.374531835206
2008,65-74,Male,Black,Outpatient,3022390,1414.9765917602997
2008,65-74,Male,Black,PDE,4426370,2072.2705992509364
2008,65-74,Male,Hispanic,Inpatient,1603700,4231.398416886544
2008,65-74,Male,Hispanic,Outpatient,484200,1277.5725593667546
2008,65-74,Male,Hispanic,PDE,982810,2593.166226912929
2008,65-74,Male,Other,Inpatient,3979200,3571.992818671454
2008,65-74,Male,Other,Outpatient,1446810,1298.7522441651706
2008,65-74,Male,Other,PDE,2605800,2339.138240574506
2008,65-74,Male,White,Inpatient,88147650,4510.907834808863
2008,65-74,Male,White,Outpatient,30807950,1576.5800112583797
2008,65-74,Male,White,PDE,42191170,2159.110076249936
2008,75-84,Female,Black,Inpatient,9997100,5884.108298999411
2008,75-84,Female,Black,Outpatient,3817300,2246.792230723955
2008,75-84,Female,Black,PDE,6005780,3534.89111241907
2008,75-84,Female,Hispanic,Inpatient,2426200,4941.344195519348
2008,75-84,Female,Hispanic,Outpatient,947880,1930.50916496945
2008,75-84,Female,Hispanic,PDE,2183100,4446.232179226069
2008,75-84,Female,Other,Inpatient,3120200,4363.916083916084
2008,75-84,Female,Other,Outpatient,1227890,1717.3286713286714
2008,75-84,Female,Other,PDE,2577710,3605.188811188811
2008,75-84,Female,White,Inpatient,99514340,6217.314756966138
2008,75-84,Female,White,Outpatient,34403240,2149.3964763213794
2008,75-84,Female,White,PDE,52028520,3250.5635386729978
2008,75-84,Male,Black,Inpatient,6232400,5868.549905838041
2008,75-84,Male,Black,Outpatient,2088180,1966.2711864406779
2008,75-84,Male,Black,PDE,2592350,2441.0075329566853
2008,75-84,Male,Hispanic,Inpatient,1531000,4556.547619047619
2008,75-84,Male,Hispanic,Outpatient,590630,1757.827380952381
2008,75-84,Male,Hispanic,PDE,1199090,3568.720238095238
2008,75-84,Male,Other,Inpatient,2302200,4118.425760286225
2008,75-84,Male,Other,Outpatient,928490,1660.9838998211092
2008,75-84,Male,Other,PDE,1916980,3429.3023255813955
2008,75-84,Male,White,Inpatient,77317270,6435.597636091227
2008,75-84,Male,White,Outpatient,24792710,2063.6515731646414
2008,75-84,Male,White,PDE,30213800,2514.882636923589
2008,85+,Female,Black,Inpatient,5397400,6479.471788715487
2008,85+,Female,Black,Outpatient,1755740,2107.731092436975
2008,85+,Female,Black,PDE,2811860,3375.582232893157
2008,85+,Female,Hispanic,Inpatient,1284900,6589.2307692307695
2008,85+,Female,Hispanic,Outpatient,314620,1613.4358974358975
2008,85+,Female,Hispanic,PDE,954870,4896.7692307692305
2008,85+,Female,Other,Inpatient,1506500,4607.033639143731
2008,85+,Female,Other,Outpatient,573220,1752.9663608562691
2008,85+,Female,Other,PDE,1258700,3849.2354740061164
2008,85+,Female,White,Inpatient,64072810,7388.469787822878
2008,85+,Female,White,Outpatient,21173990,2441.650138376384
2008,85+,Female,White,PDE,31376360,3618.122693726937
2008,85+,Male,Black,Inpatient,2049100,6403.4375
2008,85+,Male,Black,Outpatient,602690,1883.40625
2008,85+,Male,Black,PDE,927430,2898.21875
2008,85+,Male,Hispanic,Inpatient,852000,6042.553191489362
2008,85+,Male,Hispanic,Outpatient,202460,1435.886524822695
2008,85+,Male,Hispanic,PDE,534350,3789.7163120567375
2008,85+,Male,Other,Inpatient,716200,4001.117318435754
2008,85+,Male,Other,Outpatient,226140,1263.3519553072626
2008,85+,Male,Other,PDE,568140,3173.9664804469276
2008,85+,Male,White,Inpatient,32070130,7753.899903288201
2008,85+,Male,White,Outpatient,9691710,2343.2567698259186
2008,85+,Male,White,PDE,11791150,2850.8583172147
2008,<65,Female,Black,Inpatient,11650600,6376.9020251778875
2008,<65,Female,Black,Outpatient,4869210,2665.1395730706076
2008,<65,Female,Black,PDE,7326300,4010.016420361248
2008,<65,Female,Hispanic,Inpatient,1396300,4349.844236760125
2008,<65,Female,Hispanic,Outpatient,581210,1810.6230529595016
2008,<65,Female,Hispanic,PDE,1489580,4640.4361370716515
2008,<65,Female,Other,Inpatient,1508000,4501.492537313433
2008,<65,Female,Other,Outpatient,681410,2034.0597014925372
2008,<65,Female,Other,PDE,1164270,3475.4328358208954
2008,<65,Female,White,Inpatient,38850940,5932.346923194381
2008,<65,Female,White,Outpatient,14990110,2288.91586501756
2008,<65,Female,White,PDE,27128120,4142.330126736906
2008,<65,Male,Black,Inpatient,10407400,5506.560846560847
2008,<65,Male,Black,Outpatient,3940390,2084.862433862434
2008,<65,Male,Black,PDE,5515800,2918.4126984126983
2008,<65,Male,Hispanic,Inpatient,1865700,4652.618453865337
2008,<65,Male,Hispanic,Outpatient,704760,1757.506234413965
2008,<65,Male,Hispanic,PDE,1555540,3879.1521197007482
2008,<65,Male,Other,Inpatient,2171600,5050.232558139535
2008,<65,Male,Other,Outpatient,1191980,2772.046511627907
2008,<65,Male,Other,PDE,1313070,3053.6511627906975
2008,<65,Male,White,Inpatient,39453320,5355.411972308945
2008,<65,Male,White,Outpatient,13766380,1868.654811999457
2008,<65,Male,White,PDE,24461980,3320.4805212433826
2009,65-74,Female,Black,Inpatient,10594820,4429.272575250836
2009,65-74,Female,Black,Outpatient,4474750,1870.7148829431437
2009,65-74,Female,Black,PDE,6907210,2887.629598662207
2009,65-74,Female,Hispanic,Inpatient,1575400,3564.2533936651585
2009,65-74,Female,Hispanic,Outpatient,533950,1208.0316742081448
2009,65-74,Female,Hispanic,PDE,1777650,4021.8325791855204
2009,65-74,Female,Other,Inpatient,4238800,3682.7106863596873
2009,65-74,Female,Other,Outpatient,1692430,1470.3996524761078
2009,65-74,Female,Other,PDE,3253300,2826.498696785404
2009,65-74,Female,White,Inpatient,91855830,4576.316759665206
2009,65-74,Female,White,Outpatient,34570940,1722.3465524113192
2009,65-74,Female,White,PDE,54430650,2711.770127540853
2009,65-74,Male,Black,Inpatient,8413800,4167.310549777118
2009,65-74,Male,Black,Outpatient,2870720,1421.8524021792966
2009,65-74,Male,Black,PDE,4205620,2083.021297672115
