claim_type,dx_code,n
Inpatient,486,2453
Inpatient,V5789,1807
Inpatient,41401,1675
Inpatient,0389,1648
Inpatient,49121,1558
Inpatient,4280,1419
Inpatient,5990,1374
Inpatient,42731,1253
Inpatient,41071,1170
Inpatient,71536,1154
Inpatient,5849,1092
Inpatient,43491,1068
Inpatient,51881,817
Inpatient,78659,738
Inpatient,7802,715
Inpatient,5070,705
Inpatient,27651,618
Inpatient,6826,539
Inpatient,42823,512
Inpatient,82021,503
Outpatient,4019,19079
Outpatient,4011,18816
Outpatient,OTHER,5675
Outpatient,2721,4677
Outpatient,2723,4627
Outpatient,2722,4602
Outpatient,2720,4568
Outpatient,2724,4560
Outpatient,78659,3367
Outpatient,78651,3244
Outpatient,78650,3229
Outpatient,7802,2746
Outpatient,79029,2252
Outpatient,7851,2249
Outpatient,24900,2237
Outpatient,25000,2235
Outpatient,42781,2226
Outpatient,42789,2218
Outpatient,4279,2212
Outpatient,4270,2211
