file_year,age_group,sex,race,claim_type,total_events,mean_events
2008,65-74,Female,Black,Inpatient,1189,0.46156832298136646
2008,65-74,Female,Black,Outpatient,15041,5.83889751552795
2008,65-74,Female,Black,PDE,122515,47.56017080745342
2008,65-74,Female,Hispanic,Inpatient,173,0.3720430107526882
2008,65-74,Female,Hispanic,Outpatient,2517,5.412903225806452
2008,65-74,Female,Hispanic,PDE,30184,64.91182795698924
2008,65-74,Female,Other,Inpatient,449,0.3529874213836478
2008,65-74,Female,Other,Outpatient,6437,5.060534591194968
2008,65-74,Female,Other,PDE,60281,47.390723270440255
2008,65-74,Female,White,Inpatient,10382,0.470540246555475
2008,65-74,Female,White,Outpatient,140875,6.384835025380711
2008,65-74,Female,White,PDE,983719,44.58479876722262
2008,65-74,Male,Black,Inpatient,926,0.43352059925093633
2008,65-74,Male,Black,Outpatient,10905,5.105337078651686
2008,65-74,Male,Black,PDE,74056,34.670411985018724
2008,65-74,Male,Hispanic,Inpatient,151,0.39841688654353563
2008,65-74,Male,Hispanic,Outpatient,1633,4.308707124010554
2008,65-74,Male,Hispanic,PDE,16646,43.92084432717678
2008,65-74,Male,Other,Inpatient,402,0.3608617594254937
2008,65-74,Male,Other,Outpatient,4976,4.466786355475763
2008,65-74,Male,Other,PDE,44805,40.21992818671454
2008,65-74,Male,White,Inpatient,9058,0.4635382017296965
2008,65-74,Male,White,Outpatient,114055,5.836702318202753
2008,65-74,Male,White,PDE,707831,36.22286474591884
2008,75-84,Female,Black,Inpatient,1077,0.6339022954679223
2008,75-84,Female,Black,Outpatient,11985,7.0541494997057095
2008,75-84,Female,Black,PDE,98581,58.02295467922307
2008,75-84,Female,Hispanic,Inpatient,259,0.5274949083503055
2008,75-84,Female,Hispanic,Outpatient,3352,6.826883910386965
2008,75-84,Female,Hispanic,PDE,36564,74.46843177189409
2008,75-84,Female,Other,Inpatient,307,0.42937062937062936
2008,75-84,Female,Other,Outpatient,4674,6.537062937062937
2008,75-84,Female,Other,PDE,43494,60.83076923076923
2008,75-84,Female,White,Inpatient,10398,0.649631388229414
2008,75-84,Female,White,Outpatient,121038,7.562039235286767
2008,75-84,Female,White,PDE,853380,53.316256403848556
2008,75-84,Male,Black,Inpatient,641,0.603578154425612
2008,75-84,Male,Black,Outpatient,6490,6.111111111111111
2008,75-84,Male,Black,PDE,42917,40.411487758945384
2008,75-84,Male,Hispanic,Inpatient,158,0.47023809523809523
2008,75-84,Male,Hispanic,Outpatient,1910,5.684523809523809
2008,75-84,Male,Hispanic,PDE,20002,59.529761904761905
2008,75-84,Male,Other,Inpatient,260,0.46511627906976744
2008,75-84,Male,Other,Outpatient,3469,6.205724508050089
2008,75-84,Male,Other,PDE,31189,55.79427549194991
2008,75-84,Male,White,Inpatient,7800,0.6492425503579158
2008,75-84,Male,White,Outpatient,87284,7.265190610953887
2008,75-84,Male,White,PDE,499237,41.55460296320959
2008,85+,Female,Black,Inpatient,600,0.7202881152460985
2008,85+,Female,Black,Outpatient,5796,6.957983193277311
2008,85+,Female,Black,PDE,45962,55.1764705882353
2008,85+,Female,Hispanic,Inpatient,134,0.6871794871794872
2008,85+,Female,Hispanic,Outpatient,1231,6.312820512820513
2008,85+,Female,Hispanic,PDE,15451,79.23589743589744
